station,prcptn,altitude,latitude,distance,shadow
1,39.56999969,43,40.79999924,1,0
2,23.27000046,341,40.20000076,97,1
3,18.20000076,4152,33.79999924,70,1
4,37.47999954,74,39.40000153,1,0
5,49.25999832,6752,39.29999924,150,0
6,21.81999969,52,37.79999924,5,0
7,18.06999969,25,38.5,80,1
8,14.17000008,95,37.40000153,28,1
9,42.63000107,6360,36.59999847,145,0
10,13.85000038,74,36.70000076,12,1
11,9.43999958,331,36.70000076,114,1
12,19.32999992,57,35.70000076,1,0
13,15.67000008,740,35.70000076,31,1
14,6,489,35.40000153,75,1
15,5.730000019,4108,37.29999924,198,1
16,47.81999969,4850,40.40000153,142,0
17,17.95000076,120,34.40000153,1,0
18,18.20000076,4152,40.29999924,198,1
19,10.02999973,4036,41.90000153,140,1
20,4.630000114,913,34.79999924,192,1
21,14.73999977,699,34.20000076,47,0
22,15.02000046,312,34.09999847,16,0
23,12.35999966,50,33.79999924,12,0
24,8.260000229,125,37.79999924,74,1
25,4.050000191,268,33.59999847,155,1
26,9.93999958,19,32.70000076,5,0
27,4.25,2105,34.09000015,85,1
28,1.659999967,178,36.5,194,1
29,74.87000275,35,41.70000076,1,0
30,15.94999981,60,39.20000076,91,1
